"class","method","reference.x","set","precision","recall","f1","accuracy","reference.y","full_precision","full_recall","full_f1","full_accuracy"
"47","B cell","Seurat","",13,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"48","B cell","Seurat","",14,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"49","B cell","Seurat","",15,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"50","B cell","Seurat","",16,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"51","B cell","Seurat","",17,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"52","B cell","Seurat","",18,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"53","B cell","Seurat","",19,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"54","B cell","Seurat","",20,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"55","B cell","Seurat","",2,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"56","B cell","Seurat","",3,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"57","B cell","Seurat","",4,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"58","B cell","Seurat","",1,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"59","B cell","Seurat","",6,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"60","B cell","Seurat","",5,NA,NA,NA,NA,"BoneMarrow",0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"61","B cell","SingleCellNet","",2,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"62","B cell","SingleCellNet","",3,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"63","B cell","SingleCellNet","",1,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"64","B cell","SingleCellNet","",6,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"65","B cell","SingleCellNet","",7,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"66","B cell","SingleCellNet","",4,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"67","B cell","SingleCellNet","",5,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"68","B cell","SingleCellNet","",13,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"69","B cell","SingleCellNet","",14,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"70","B cell","SingleCellNet","",15,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"71","B cell","SingleCellNet","",16,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"72","B cell","SingleCellNet","",17,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"73","B cell","SingleCellNet","",18,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"74","B cell","SingleCellNet","",19,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"75","B cell","SingleCellNet","",20,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"76","B cell","SingleCellNet","",8,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
