"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"123","X108141","BoneMarrow",0,0,1,1,1
"124","X108168","BoneMarrow",1,1,1,1,1
"125","X108264","BoneMarrow",1,1,1,1,1
"126","X108428","BoneMarrow",0,0,1,1,1
"127","X10845","BoneMarrow",0.65,0.8,1,1,1
"128","X108526","BoneMarrow",0,0.9,0,0,0
"129","X108541","BoneMarrow",1,1,1,1,1
"130","X108554","BoneMarrow",0.2,1,1,1,1
"131","X108604","BoneMarrow",0,1,1,1,1
"132","X108616","BoneMarrow",1,0,1,1,1
"133","X108617","BoneMarrow",0.7,1,1,1,1
"134","X1087","BoneMarrow",0.8,1,1,1,1
"135","X108735","BoneMarrow",1,1,1,1,1
"136","X108814","BoneMarrow",1,1,1,1,1
"137","X108878","BoneMarrow",1,1,1,1,1
"138","X108928","BoneMarrow",1,0,1,1,1
"139","X108937","BoneMarrow",1,1,1,1,1
"140","X108985","BoneMarrow",0.9,0,1,1,1
"141","X109048","BoneMarrow",1,1,1,1,1
"142","X109132","BoneMarrow",0,0,1,1,1
"143","X109199","BoneMarrow",0,0,0,0,0
"144","X109212","BoneMarrow",0,1,1,1,1
"145","X109376","BoneMarrow",0.45,1,1,1,1
"146","X109393","BoneMarrow",0,1,1,1,1
"147","X109454","BoneMarrow",0,0,0.2,0.1,0.2
"148","X109465","BoneMarrow",0,0,1,1,1
"149","X109485","BoneMarrow",1,1,1,1,1
"150","X10957","BoneMarrow",1,1,1,1,1
"151","X109599","BoneMarrow",1,1,1,1,1
"152","X1097","BoneMarrow",1,1,1,1,1
"153","X109821","BoneMarrow",0.4,1,1,1,1
"154","X109832","BoneMarrow",0,0,1,1,1
"155","X10988","BoneMarrow",0,1,1,1,1
"156","X109880","BoneMarrow",0,0,0,0,0
"157","X109886","BoneMarrow",0.8,0,1,1,0.8
"158","X109905","BoneMarrow",0.9,1,1,1,1
"159","X110066","BoneMarrow",1,1,1,1,1
"160","X110118","BoneMarrow",1,0,1,1,1
"161","X110330","BoneMarrow",0.9,0,0.8,0,0
"162","X110359","BoneMarrow",0,0,0,0,0
"163","X110396","BoneMarrow",1,0,1,1,1
"164","X110398","BoneMarrow",1,1,1,1,1
"165","X110414","BoneMarrow",1,1,1,1,1
"166","X11042","BoneMarrow",0,0,1,1,1
"167","X110424","BoneMarrow",1,0,1,1,1
"168","X110581","BoneMarrow",0,0,1,1,1
"169","X110669","BoneMarrow",1,1,1,1,1
"170","X110686","BoneMarrow",1,1,1,1,1
"171","X110857","BoneMarrow",1,1,0.5,1,1
"172","X110904","BoneMarrow",1,1,1,1,1
"173","X110945","BoneMarrow",0.7,0,1,1,1
"174","X110951","BoneMarrow",0.7,0,1,1,1
"175","X110988","BoneMarrow",0,1,1,1,1
"176","X111023","BoneMarrow",1,1,1,1,1
"177","X111042","BoneMarrow",0,0,1,1,1
"178","X111081","BoneMarrow",1,1,1,1,1
"179","X111161","BoneMarrow",0,0,0.8,0.3,0.7
"180","X111165","BoneMarrow",1,1,1,1,1
"181","X111191","BoneMarrow",0,1,1,1,1
"182","X111216","BoneMarrow",0,0,1,1,1
"183","X111223","BoneMarrow",1,0,1,1,1
"184","X111353","BoneMarrow",0,0,1,1,1
"185","X111355","BoneMarrow",0.25,1,1,1,1
"186","X111373","BoneMarrow",0,0,1,1,1
"187","X11139","BoneMarrow",1,0,1,1,1
"188","X111456","BoneMarrow",0,0,1,1,1
"189","X111476","BoneMarrow",0,0,1,1,1
"190","X111532","BoneMarrow",0,0,1,1,1
"191","X111568","BoneMarrow",0,0,0,0,0
"192","X111623","BoneMarrow",0,1,1,1,1
"193","X111637","BoneMarrow",0.55,0,1,1,1
"194","X11167","BoneMarrow",1,1,0,1,0
"195","X11178","BoneMarrow",1,0,1,1,1
"196","X111907","BoneMarrow",0,0,0.9,0.8,0
"197","X111972","BoneMarrow",1,0,1,1,1
"198","X1120","BoneMarrow",1,0,1,1,1
"199","X112018","BoneMarrow",0,0,1,1,0
"200","X112294","BoneMarrow",0,0.2,0.4,1,0
"201","X112300","BoneMarrow",0.9,1,1,1,1
"202","X112452","BoneMarrow",0,1,1,1,1
"203","X112586","BoneMarrow",1,1,1,1,1
"204","X112616","BoneMarrow",0,0,1,1,1
